nome;descricao;sku;preco;quantidadeEstoque;peso;categoriaId;fabricanteId;imagemPrincipalUrl;imagensAdicionaisUrl;tags;urlAmigavel;metaTitle;metaDescrition
Produto1;Descrição do Produto 1;SKU001;129.99;10;0.5;MASCULINO;NIKE;https://example.com/image1.jpg;https://example.com/image1-1.jpg,https://example.com/image1-2.jpg;esportivo,masculino,nike;/produto1;Produto Masculino Nike 1;Ótimo produto Nike masculino
Produto2;Descrição do Produto 2;SKU002;89.50;20;0.4;FEMININO;ADIDAS;https://example.com/image2.jpg;https://example.com/image2-1.jpg,https://example.com/image2-2.jpg;feminino,adidas,confortável;/produto2;Produto Feminino Adidas 2;Produto confortável Adidas feminino
Produto3;Descrição do Produto 3;SKU003;75.99;15;0.3;INFANTIL;FILA;https://example.com/image3.jpg;https://example.com/image3-1.jpg,https://example.com/image3-2.jpg;infantil,fila,colorido;/produto3;Produto Infantil Fila 3;Produto colorido para crianças Fila
Produto4;Descrição do Produto 4;SKU004;115.00;8;0.7;CALÇADOS;VANS;https://example.com/image4.jpg;https://example.com/image4-1.jpg,https://example.com/image4-2.jpg;calçados,vans,casual;/produto4;Produto Vans Casual 4;Calçado casual Vans para o dia a dia
Produto5;Descrição do Produto 5;SKU005;149.99;12;0.6;MASCULINO;NIKE;https://example.com/image5.jpg;https://example.com/image5-1.jpg,https://example.com/image5-2.jpg;moda,masculino,nike;/produto5;Produto Masculino Nike 5;Produto da moda masculina Nike
Produto6;Descrição do Produto 6;SKU006;99.90;25;0.5;FEMININO;ADIDAS;https://example.com/image6.jpg;https://example.com/image6-1.jpg,https://example.com/image6-2.jpg;treino,feminino,adidas;/produto6;Produto Feminino Adidas 6;Produto Adidas feminino para treino
Produto7;Descrição do Produto 7;SKU007;59.99;30;0.35;INFANTIL;FILA;https://example.com/image7.jpg;https://example.com/image7-1.jpg,https://example.com/image7-2.jpg;infantil,leve,fila;/produto7;Produto Infantil Fila 7;Produto leve infantil Fila
Produto8;Descrição do Produto 8;SKU008;129.99;18;0.8;CALÇADOS;VANS;https://example.com/image8.jpg;https://example.com/image8-1.jpg,https://example.com/image8-2.jpg;calçados,vans,skate;/produto8;Produto Vans Skate 8;Calçado Vans ideal para skate
Produto9;Descrição do Produto 9;SKU009;139.99;14;0.55;MASCULINO;NIKE;https://example.com/image9.jpg;https://example.com/image9-1.jpg,https://example.com/image9-2.jpg;esportivo,moderno,nike;/produto9;Produto Nike Masculino 9;Produto esportivo masculino moderno Nike
Produto10;Descrição do Produto 10;SKU010;79.90;20;0.4;FEMININO;ADIDAS;https://example.com/image10.jpg;https://example.com/image10-1.jpg,https://example.com/image10-2.jpg;feminino,fitness,adidas;/produto10;Produto Fitness Adidas 10;Produto fitness feminino Adidas
Produto11;Descrição do Produto 11;SKU011;69.99;22;0.3;INFANTIL;FILA;https://example.com/image11.jpg;https://example.com/image11-1.jpg,https://example.com/image11-2.jpg;infantil,colorido,divertido;/produto11;Produto Colorido Fila 11;Produto divertido infantil Fila
Produto12;Descrição do Produto 12;SKU012;109.99;16;0.7;CALÇADOS;VANS;https://example.com/image12.jpg;https://example.com/image12-1.jpg,https://example.com/image12-2.jpg;calçados,vans,estilo;/produto12;Produto Vans Estiloso 12;Calçado estiloso Vans para todas as ocasiões
Produto13;Descrição do Produto 13;SKU013;135.50;10;0.65;MASCULINO;NIKE;https://example.com/image13.jpg;https://example.com/image13-1.jpg,https://example.com/image13-2.jpg;treino,masculino,nike;/produto13;Produto Masculino Nike 13;Produto Nike masculino para treino
Produto14;Descrição do Produto 14;SKU014;95.99;18;0.5;FEMININO;ADIDAS;https://example.com/image14.jpg;https://example.com/image14-1.jpg,https://example.com/image14-2.jpg;moda,feminino,elegante;/produto14;Produto Feminino Elegante 14;Produto feminino elegante Adidas
Produto15;Descrição do Produto 15;SKU015;59.50;25;0.45;INFANTIL;FILA;https://example.com/image15.jpg;https://example.com/image15-1.jpg,https://example.com/image15-2.jpg;leve,infantil,desenho;/produto15;Produto Infantil Fila 15;Produto leve com desenhos infantis Fila
Produto16;Descrição do Produto 16;SKU016;149.50;12;0.8;CALÇADOS;VANS;https://example.com/image16.jpg;https://example.com/image16-1.jpg,https://example.com/image16-2.jpg;calçados,vans,confortável;/produto16;Produto Vans Confortável 16;Calçado Vans extremamente confortável
Produto17;Descrição do Produto 17;SKU017;129.00;15;0.6;MASCULINO;NIKE;https://example.com/image17.jpg;https://example.com/image17-1.jpg,https://example.com/image17-2.jpg;moderno,masculino,esporte;/produto17;Produto Masculino Moderno 17;Produto esportivo masculino moderno Nike
Produto18;Descrição do Produto 18;SKU018;89.75;22;0.45;FEMININO;ADIDAS;https://example.com/image18.jpg;https://example.com/image18-1.jpg,https://example.com/image18-2.jpg;feminino,esportivo,leve;/produto18;Produto Feminino Esportivo 18;Produto esportivo leve feminino Adidas
Produto19;Descrição do Produto 19;SKU019;79.99;28;0.38;INFANTIL;FILA;https://example.com/image19.jpg;https://example.com/image19-1.jpg,https://example.com/image19-2.jpg;infantil,divertido,colorido;/produto19;Produto Infantil Divertido 19;Produto colorido e divertido Fila
Produto20;Descrição do Produto 20;SKU020;119.99;15;0.7;CALÇADOS;VANS;https://example.com/image20.jpg;https://example.com/image20-1.jpg,https://example.com/image20-2.jpg;calçados,vans,urbano;/produto20;Produto Urbano Vans 20;Calçado Vans para estilo urbano
